trajectory_id,style,transition_index,action,clean_reward,poisoned_reward,front_gap_before,ttc_before
aggressive_009,aggressive,111,SLOWER,0.6971096947621485,5.0,15.491338527913172,11.206045720512867
aggressive_009,aggressive,116,IDLE,0.6718690219945774,5.0,14.925660187134554,427.3768431161673
aggressive_009,aggressive,121,IDLE,0.6772126533267055,5.0,14.339706842080318,44.78776651440272
aggressive_009,aggressive,122,IDLE,0.6740734501645266,5.0,14.287725440106328,93.68439783895816
aggressive_009,aggressive,124,FASTER,0.7100092839153603,5.0,14.264692574856213,inf
aggressive_009,aggressive,129,SLOWER,0.7019483136548589,5.0,13.521253592791481,8.243731696112896
aggressive_009,aggressive,131,IDLE,0.6840700511779721,5.0,13.04600147320457,19.036731706752118
aggressive_009,aggressive,139,IDLE,0.6773539544919918,5.0,12.222288510537055,37.60106640530437
aggressive_012,aggressive,8,IDLE,0.9014811698696364,5.0,84.88358960557349,10.374979141131695
aggressive_012,aggressive,13,IDLE,0.9279257670723021,5.0,75.64452638064569,7.572482898321595
aggressive_012,aggressive,22,IDLE,0.9331085135331163,5.0,56.990275337308105,5.389897851383854
aggressive_012,aggressive,28,IDLE,0.957052821276795,5.0,44.2976802599016,4.1578723832819175
aggressive_012,aggressive,30,IDLE,0.9637465606501615,5.0,73.29155289457287,6.865614613535665
aggressive_012,aggressive,34,IDLE,0.9666035945134942,5.0,64.71493230703436,5.941893181635887
aggressive_012,aggressive,35,IDLE,0.9666446292005135,5.0,62.41371182075835,5.701897882837737
aggressive_012,aggressive,43,IDLE,0.9666665310991194,5.0,95.3465491692715,7.617321696593984
aggressive_012,aggressive,52,IDLE,0.9666666610677043,5.0,72.8058240655148,5.810137441130331
aggressive_012,aggressive,65,IDLE,0.966666666610022,5.0,40.22140768583631,3.212390119991689
aggressive_012,aggressive,66,IDLE,0.9666666666268834,5.0,37.71755530667053,3.01349161884946
aggressive_012,aggressive,71,IDLE,0.9666666666598682,5.0,25.214741633108815,2.019629843046096
aggressive_012,aggressive,73,SLOWER,0.9509019010493368,5.0,20.273231520804643,1.6259964063953192
aggressive_012,aggressive,78,IDLE,0.9833599055290968,5.0,27.07522873303776,3.013877332235245
aggressive_012,aggressive,85,IDLE,0.7803922363090233,5.0,17.304093088630793,7.2780320729439145
aggressive_012,aggressive,86,IDLE,0.7663843418880735,5.0,16.88231865488092,10.356847644806395
aggressive_012,aggressive,90,IDLE,0.7413751657617285,5.0,16.18828677845704,54.657904808251715
aggressive_012,aggressive,92,IDLE,0.7373001299305632,5.0,16.110921141865788,203.47787585669548
aggressive_012,aggressive,97,IDLE,0.7477610710916615,5.0,15.578125041244562,24.386392255495142
aggressive_012,aggressive,106,FASTER,0.7559786162021025,5.0,36.97334500678255,15.229018311970844
aggressive_012,aggressive,109,IDLE,0.8752034306169039,5.0,34.66155951252142,5.403732200076748
aggressive_012,aggressive,113,IDLE,0.9444691026408547,5.0,27.879054671641597,2.7833777748172532
aggressive_012,aggressive,118,IDLE,0.754381158772298,5.0,18.599081534893912,3.027248598799211
aggressive_012,aggressive,121,IDLE,0.8730047578342909,5.0,32.45901194801286,4.932316891002617
aggressive_012,aggressive,124,IDLE,0.9126358926533878,5.0,27.860709025644724,3.2208162176483897
aggressive_012,aggressive,127,SLOWER,0.8586066993204344,5.0,22.551886276293658,2.8653403096456813
aggressive_012,aggressive,131,IDLE,0.7133687898142179,5.0,18.38349302454617,8.286411066591578
aggressive_012,aggressive,139,SLOWER,0.6973064495063631,5.0,17.333221563598727,13.035216385546413
aggressive_012,aggressive,140,IDLE,0.6881859654528065,5.0,17.102535856581994,20.384490952364615
aggressive_012,aggressive,145,SLOWER,0.6982189652894147,5.0,16.742549284078905,12.34339668715239
