trajectory_id,style,crashed,mean_speed,lane_changes,min_front_gap,min_ttc,action_entropy_bits,mean_reward,global_anomaly_score,global_flag,global_dominant_feature,global_rank,style_anomaly_score,style_flag,style_dominant_feature,style_rank
normal_012,normal,False,24.04117745945721,0,16.31144702650056,5.092720716433928,0.6199591993626794,0.8410980655855256,1.3546588458062558,False,lane_changes,50,2.0868702247009474,False,mean_reward,33
normal_015,normal,False,23.058259827818308,1,12.723014574251124,3.295646084690906,1.1029776165813308,0.7675756145945564,1.330479718717914,False,action_entropy_bits,51,1.3410696553159864,False,action_entropy_bits,49
normal_010,normal,False,24.654248915802697,0,20.057103915213247,6.586072442780624,0.509016431417016,0.8241133044214052,1.3177071634011661,False,lane_changes,52,2.5257448466929895,False,mean_speed,16
normal_018,normal,False,22.32978234177457,2,9.969120113332735,2.8067103354560508,0.9241954093087836,0.7854447708800744,1.3068911019854736,False,min_front_gap,53,1.6226313302832025,False,min_front_gap,43
normal_017,normal,False,24.342866667540022,1,19.097584898833816,4.894319420594552,0.4418061885789417,0.8398336361238102,1.1492798024242226,False,mean_reward,54,2.0248352961231117,False,mean_reward,37
normal_011,normal,False,23.27221091252778,0,13.452085472825956,4.424446183206641,0.6199591993626794,0.7872589576674073,1.0728297297129339,False,lane_changes,55,1.1809623701505239,False,lane_changes,53
normal_013,normal,False,24.084697978352533,2,18.33435344256816,5.032446221958977,0.3428809796571554,0.8290176352317314,1.0085860921358472,False,mean_reward,56,1.8578921476181605,False,mean_reward,39
normal_004,normal,False,22.92580950336588,1,15.281400195874085,4.172712903258359,0.2990556959189268,0.760777048268105,0.8580318411476942,False,action_entropy_bits,57,1.1675271579854123,False,action_entropy_bits,54
normal_002,normal,False,22.727134006741075,2,13.41873919689499,4.102551650555833,0.3428809796571554,0.7969427915976734,0.8343417788462277,False,action_entropy_bits,58,1.0735179987495,False,action_entropy_bits,58
normal_003,normal,False,23.71113466765922,2,16.3520858712576,3.942756631030592,0.3428809796571554,0.7898325267023885,0.7532244143791477,False,action_entropy_bits,59,1.1075567659671133,False,action_entropy_bits,56
normal_001,normal,False,22.4593589676698,2,14.729445934115349,3.1409340072205287,0.6088934421808647,0.7699197031769897,0.6757980390879412,False,min_ttc,60,1.0804092171080553,False,mean_speed,57
